Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
,,,,,,,,,,
"C1","C_0402","2.875mm","1.7mm","2.875mm","1.7mm","2.875mm","1.7mm","bottom","90","1uF, 10V, X5R, 0402"
"C2","C_0402","2.325mm","4.65mm","2.325mm","4.65mm","2.325mm","4.65mm","bottom","180","1uF, 10V, X5R, 0402"
"C3","C_0402","2.325mm","3.45mm","2.325mm","3.45mm","2.325mm","3.45mm","bottom","180","4.7uF, 6.3V, X5R, 0402"
"D1","LED_0402","10.475mm","8.25mm","10.475mm","8.25mm","10.475mm","8.25mm","bottom","180","LED Green 0402"
"D2","LED_0402","10.475mm","1.45mm","10.475mm","1.45mm","10.475mm","1.45mm","bottom","180","LED, Red, 0402"
"R1","R_0402","10.475mm","6.95mm","10.475mm","6.95mm","10.475mm","6.95mm","bottom","0","100 Ohm, 1%, 1/16W, 0402"
"R2","R_0402","10.475mm","2.75mm","10.475mm","2.75mm","10.475mm","2.75mm","bottom","180","100 Ohm, 1%, 1/16W, 0402"
"R3","R_0402","2.5mm","5.9mm","2.5mm","5.9mm","2.5mm","5.9mm","bottom","0","15 Ohm, 1%, 1/16W, 0402"
"R4","R_0402","2.5mm","7.2mm","2.5mm","7.2mm","2.5mm","7.2mm","bottom","0","15 Ohm, 1%, 1/16W, 0402"
"U1","QFN-24-1EP_5x5mm_Pitch0.65mm","6.575mm","4.75mm","6.575mm","4.75mm","6.575mm","4.75mm","bottom","180","EFM32HG309"
